Id,choose
10000,0.301
10001,0.748
10002,0.469
10003,0.69
10004,0.81
10005,0.596
10006,0.29
10007,0.582
10008,0.48
10009,0.674
10010,0.681
10011,0.763
10012,0.259
10013,0.464
10014,0.545
10015,0.321
10016,0.784
10017,0.652
10018,0.489
10019,0.74
10020,0.205
10021,0.644
10022,0.27
10023,0.739
10024,0.775
10025,0.501
10026,0.762
10027,0.303
10028,0.733
10029,0.357
10030,0.58
10031,0.298
10032,0.405
10033,0.551
10034,0.389
10035,0.801
10036,0.266
10037,0.409
10038,0.605
10039,0.39
10040,0.758
10041,0.328
10042,0.697
10043,0.259
10044,0.82
10045,0.791
10046,0.71
10047,0.66
10048,0.366
10049,0.665
10050,0.299
10051,0.602
10052,0.685
10053,0.42
10054,0.266
10055,0.33
10056,0.667
10057,0.398
10058,0.243
10059,0.29
10060,0.677
10061,0.54
10062,0.781
10063,0.627
10064,0.631
10065,0.722
10066,0.379
10067,0.355
10068,0.281
10069,0.795
10070,0.369
10071,0.444
10072,0.555
10073,0.317
10074,0.819
10075,0.686
10076,0.333
10077,0.694
10078,0.412
10079,0.77
10080,0.721
10081,0.438
10082,0.764
10083,0.268
10084,0.266
10085,0.31
10086,0.681
10087,0.569
10088,0.38
10089,0.461
10090,0.782
10091,0.348
10092,0.689
10093,0.348
10094,0.275
10095,0.501
10096,0.628
10097,0.276
10098,0.722
10099,0.361
10100,0.46
10101,0.625
10102,0.614
10103,0.412
10104,0.723
10105,0.7
10106,0.701
10107,0.245
10108,0.309
10109,0.381
10110,0.663
10111,0.698
10112,0.771
10113,0.483
10114,0.472
10115,0.761
10116,0.393
10117,0.655
10118,0.302
10119,0.737
10120,0.317
10121,0.707
10122,0.737
10123,0.299
10124,0.606
10125,0.354
10126,0.715
10127,0.798
10128,0.671
10129,0.685
10130,0.692
10131,0.819
10132,0.402
10133,0.383
10134,0.668
10135,0.599
10136,0.301
10137,0.695
10138,0.684
10139,0.252
10140,0.634
10141,0.244
10142,0.302
10143,0.411
10144,0.366
10145,0.589
10146,0.384
10147,0.707
10148,0.628
10149,0.459
10150,0.542
10151,0.38
10152,0.854
10153,0.403
10154,0.626
10155,0.693
10156,0.374
10157,0.321
10158,0.332
10159,0.327
10160,0.283
10161,0.574
10162,0.398
10163,0.338
10164,0.338
10165,0.66
10166,0.381
10167,0.504
10168,0.416
10169,0.653
10170,0.443
10171,0.335
10172,0.327
10173,0.336
10174,0.717
10175,0.354
10176,0.533
10177,0.645
10178,0.48
10179,0.501
10180,0.33
10181,0.456
10182,0.678
10183,0.29
10184,0.387
10185,0.752
10186,0.229
10187,0.769
10188,0.641
10189,0.283
10190,0.63
10191,0.425
10192,0.459
10193,0.243
10194,0.233
10195,0.243
10196,0.443
10197,0.444
10198,0.554
10199,0.512
10200,0.674
10201,0.238
10202,0.594
10203,0.782
10204,0.251
10205,0.374
10206,0.623
10207,0.266
10208,0.796
10209,0.368
10210,0.716
10211,0.51
10212,0.461
10213,0.294
10214,0.545
10215,0.357
10216,0.248
10217,0.732
10218,0.392
10219,0.52
10220,0.605
10221,0.278
10222,0.653
10223,0.319
10224,0.422
10225,0.412
10226,0.431
10227,0.342
10228,0.676
10229,0.617
10230,0.294
10231,0.443
10232,0.661
10233,0.727
10234,0.766
10235,0.294
10236,0.722
10237,0.634
10238,0.588
10239,0.658
10240,0.38
10241,0.69
10242,0.441
10243,0.341
10244,0.294
10245,0.747
10246,0.665
10247,0.312
10248,0.534
10249,0.732
10250,0.402
10251,0.374
10252,0.599
10253,0.459
10254,0.506
10255,0.399
10256,0.345
10257,0.795
10258,0.501
10259,0.467
10260,0.327
10261,0.69
10262,0.293
10263,0.422
10264,0.719
10265,0.721
10266,0.286
10267,0.729
10268,0.49
10269,0.527
10270,0.301
10271,0.459
10272,0.427
10273,0.542
10274,0.409
10275,0.51
10276,0.219
10277,0.417
10278,0.421
10279,0.358
10280,0.316
10281,0.304
10282,0.595
10283,0.48
10284,0.336
10285,0.566
10286,0.656
10287,0.208
10288,0.326
10289,0.691
10290,0.665
10291,0.333
10292,0.212
10293,0.655
10294,0.466
10295,0.318
10296,0.692
